Code,date,last price,max,min,avg price,percent,quantity,revenue in best denars,total revenue in denars
ADIN,22.12.2014,357.00,357.00,357.00,357.00,"-12,93",100,"35,700.00","35,700.00"
ADIN,05.12.2014,410.00,410.00,410.00,410.00,"0,24",683,"280,030.00","280,030.00"
ADIN,04.12.2014,409.00,409.00,409.00,409.00,"-9,11",100,"40,900.00","40,900.00"
ADIN,02.12.2014,450.00,450.00,450.00,450.00,"47,54",180,"81,000.00","81,000.00"
ADIN,13.11.2014,305.00,305.00,305.00,305.00,"22,00",581,"177,205.00","177,205.00"
ADIN,10.9.2014,250.00,250.00,250.00,250.00,"2,88",100,"25,000.00","25,000.00"
ADIN,26.8.2014,243.00,0.00,0.00,243.00,"0,00",0,0.00,"1,700,000.00"
ADIN,13.8.2014,243.00,243.00,243.00,243.00,"-2,80",500,"121,500.00","121,500.00"
ADIN,23.5.2014,250.00,250.00,250.00,250.00,"0,00",471,"117,750.00","117,750.00"
ADIN,14.3.2014,250.00,250.00,250.00,250.00,"-0,40",1.000,"250,000.00","250,000.00"
ADIN,14.2.2014,251.00,251.00,251.00,251.00,"0,00",10,"2,510.00","2,510.00"
ADIN,31.1.2014,251.00,251.00,251.00,251.00,"0,40",200,"50,200.00","50,200.00"
ADIN,24.12.2015,345.00,345.00,345.00,345.00,"0,00",10,"3,450.00","3,450.00"
ADIN,25.11.2015,345.00,345.00,345.00,345.00,"18,97",60,"20,700.00","20,700.00"
ADIN,19.11.2015,290.00,290.00,290.00,290.00,"0,00",54,"15,660.00","15,660.00"
ADIN,10.11.2015,290.00,290.00,290.00,290.00,"0,00",200,"58,000.00","58,000.00"
ADIN,05.11.2015,290.00,290.00,290.00,290.00,"7,41",100,"29,000.00","29,000.00"
ADIN,04.11.2015,270.00,270.00,270.00,270.00,"-9,70",1.167,"315,090.00","315,090.00"
ADIN,30.10.2015,299.00,299.00,299.00,299.00,"0,00",50,"14,950.00","14,950.00"
ADIN,28.10.2015,299.00,299.00,299.00,299.00,"-0,33",330,"98,670.00","98,670.00"
ADIN,22.10.2015,300.00,300.00,300.00,300.00,"0,00",446,"133,800.00","133,800.00"
ADIN,05.10.2015,300.00,300.00,300.00,300.00,"13,21",100,"30,000.00","30,000.00"
ADIN,18.8.2015,265.00,265.00,265.00,265.00,"6,00",1.467,"388,755.00","388,755.00"
ADIN,25.6.2015,250.00,250.00,250.00,250.00,"-19,35",576,"144,000.00","144,000.00"
ADIN,14.4.2015,310.00,310.00,310.00,310.00,"-17,33",100,"31,000.00","31,000.00"
ADIN,25.3.2015,375.00,375.00,375.00,375.00,"2,18",5,"1,875.00","1,875.00"
ADIN,13.2.2015,367.00,367.00,367.00,367.00,"0,00",50,"18,350.00","18,350.00"
ADIN,03.2.2015,367.00,367.00,367.00,367.00,"0,00",396,"145,332.00","145,332.00"
ADIN,02.2.2015,367.00,367.00,367.00,367.00,"0,00",575,"211,025.00","211,025.00"
ADIN,26.1.2015,367.00,367.00,367.00,367.00,"2,80",25,"9,175.00","9,175.00"
ADIN,29.12.2016,665.00,665.00,665.00,665.00,"9,92",50,"33,250.00","33,250.00"
ADIN,26.12.2016,605.00,605.00,605.00,605.00,"0,00",1.599,"967,395.00","967,395.00"
ADIN,21.12.2016,605.00,605.00,605.00,605.00,"10,00",8.428,"5,098,940.00","5,098,940.00"
ADIN,15.12.2016,550.00,550.00,550.00,550.00,"0,00",672,"369,600.00","369,600.00"
ADIN,14.12.2016,550.00,550.00,550.00,550.00,"-8,33",40,"22,000.00","7,986,550.00"
ADIN,18.11.2016,600.00,600.00,600.00,600.00,"9,09",100,"60,000.00","60,000.00"
ADIN,15.11.2016,550.00,550.00,550.00,550.00,"0,00",90,"49,500.00","49,500.00"
ADIN,14.11.2016,550.00,550.00,550.00,550.00,"10,00",100,"55,000.00","55,000.00"
ADIN,09.11.2016,500.00,500.00,500.00,500.00,"0,00",200,"100,000.00","100,000.00"
ADIN,02.11.2016,500.00,500.00,500.00,500.00,"1,01",200,"100,000.00","100,000.00"
ADIN,01.11.2016,495.00,495.00,495.00,495.00,"2,91",199,"98,505.00","98,505.00"
ADIN,31.10.2016,481.00,481.00,481.00,481.00,"3,22",160,"76,960.00","76,960.00"
ADIN,26.10.2016,466.00,466.00,466.00,466.00,"2,87",5,"2,330.00","2,330.00"
ADIN,21.10.2016,453.00,453.00,453.00,453.00,"9,95",1.500,"679,500.00","679,500.00"
ADIN,19.10.2016,412.00,412.00,412.00,412.00,"3,00",356,"146,672.00","146,672.00"
ADIN,06.10.2016,400.00,400.00,400.00,400.00,"3,90",196,"78,400.00","78,400.00"
